City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Pemangkat,ID,80.53,few clouds,1.1667,108.9667,Ramah Kost KITA
499,Ciudad Bolivar,VE,77.79,overcast clouds,8.1222,-63.5497,Hotel Edi
501,Tura,IN,78.78,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
502,Immenstadt,DE,60.62,broken clouds,47.561,10.2199,Panorama-Hotel Rothenfels
503,Lloydminster,CA,73.62,scattered clouds,53.2835,-110.0016,BCMInns - Lloydminster
505,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
508,Cruzeiro Do Sul,BR,68.52,broken clouds,-29.5128,-51.9853,Estrela Palace Hotel
509,Pathein,MM,78.3,overcast clouds,16.7833,94.7333,Pathein Hotel
510,Balkhash,KZ,68.43,clear sky,46.844,74.9804,Family
511,Idrinskoye,RU,65.55,scattered clouds,54.3708,92.1358,Domashniy Khostel
513,Sinnamary,GF,77.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
514,Manggar,ID,83.41,broken clouds,-2.8833,108.2667,Guest Hotel
515,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
516,Mayo,US,72.01,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
518,Moyale,KE,62.4,broken clouds,3.5167,39.0584,La Tahzan Guest House
520,Los Algarrobos,PA,73.81,broken clouds,8.5,-82.4333,Waterfall Hostel
521,Marsa Matruh,EG,76.71,clear sky,31.3525,27.2453,Beau Site
522,Mamit,IN,71.46,scattered clouds,23.9333,92.4833,R Lalvuani Building
523,Praia Da Vitoria,PT,67.75,light rain,38.7333,-27.0667,Hotel Branco I
524,Sao Jose Da Coroa Grande,BR,74.89,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
525,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
526,Goderich,CA,64.72,clear sky,43.7501,-81.7165,Harmony Inn
527,Tuni,IN,76.68,overcast clouds,17.35,82.55,Sai Krishna Lodge
528,Zumpahuacan,MX,64.51,moderate rain,18.9,-99.55,El Carmen
529,Tlaltenango,MX,62.96,broken clouds,19.1667,-98.3333,CASA VALENCIA
531,Pergamino,AR,60.19,clear sky,-33.89,-60.5736,Hotel Fachinat
535,San Carlos Del Zulia,VE,78.17,overcast clouds,9.0,-71.9135,Hotel El Manantial
537,Minas,UY,62.65,clear sky,-34.3759,-55.2377,Hotel Minas
538,Geraldton,AU,63.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
539,Fereydun Kenar,IR,75.79,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
